Name,lat,lon
 Denmark,55.670249,10.3333283
 Denmark,55.670249,10.3333283
 Denmark,55.670249,10.3333283
 Denmark,55.670249,10.3333283
 Denmark,55.670249,10.3333283
 Denmark,55.670249,10.3333283
 Denmark,55.670249,10.3333283
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Lithuania,55.3500003,23.7499997
 Lithuania,55.3500003,23.7499997
 Lithuania,55.3500003,23.7499997
 Lithuania,55.3500003,23.7499997
 Latvia,56.8406494,24.7537645
 Latvia,56.8406494,24.7537645
 Latvia,56.8406494,24.7537645
 Latvia,56.8406494,24.7537645
 Latvia,56.8406494,24.7537645
 Latvia,56.8406494,24.7537645
 Latvia,56.8406494,24.7537645
 Latvia,56.8406494,24.7537645
 Netherlands,52.2379891,5.5346074
 Netherlands,52.2379891,5.5346074
 Netherlands,52.2379891,5.5346074
 Poland,52.0977181,19.0258159
 Poland,52.0977181,19.0258159
 Poland,52.0977181,19.0258159
 Poland,52.0977181,19.0258159
 Poland,52.0977181,19.0258159
 Poland,52.0977181,19.0258159
 Russian Federation,64.6863136,97.7453061
 Russian Federation,64.6863136,97.7453061
 Russian Federation,64.6863136,97.7453061
 Russian Federation,64.6863136,97.7453061
 Russian Federation,64.6863136,97.7453061
 Ireland,52.865196,-7.9794599
 Ireland,52.865196,-7.9794599
 Ireland,52.865196,-7.9794599
 Ireland,52.865196,-7.9794599
 Jersey,49.2123066,-2.1256
 Jersey,49.2123066,-2.1256
 Jersey,49.2123066,-2.1256
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Lithuania,55.3500003,23.7499997
 Lithuania,55.3500003,23.7499997
 Lithuania,55.3500003,23.7499997
 Lithuania,55.3500003,23.7499997
 Latvia,56.8406494,24.7537645
 Latvia,56.8406494,24.7537645
 Latvia,56.8406494,24.7537645
 Latvia,56.8406494,24.7537645
 Latvia,56.8406494,24.7537645
 Latvia,56.8406494,24.7537645
 Poland,52.0977181,19.0258159
 Poland,52.0977181,19.0258159
 Poland,52.0977181,19.0258159
 Poland,52.0977181,19.0258159
 Poland,52.0977181,19.0258159
 Poland,52.0977181,19.0258159
 Russian Federation,64.6863136,97.7453061
 Russian Federation,64.6863136,97.7453061
 Russian Federation,64.6863136,97.7453061
 Russian Federation,64.6863136,97.7453061
 Russian Federation,64.6863136,97.7453061
 Sweden,59.6749712,14.5208584
 Sweden,59.6749712,14.5208584
 Sweden,59.6749712,14.5208584
 Sweden,59.6749712,14.5208584
 Norway,64.5731537,11.5280364
 Norway,64.5731537,11.5280364
 Norway,64.5731537,11.5280364
 Norway,64.5731537,11.5280364
 Norway,64.5731537,11.5280364
 Germany,51.0834196,10.4234469
 Germany,51.0834196,10.4234469
 Germany,51.0834196,10.4234469
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 Greenland,77.6192349,-42.8125967
 Greenland,77.6192349,-42.8125967
 Greenland,77.6192349,-42.8125967
 Netherlands,52.2379891,5.5346074
 Netherlands,52.2379891,5.5346074
 Netherlands,52.2379891,5.5346074
 Netherlands,52.2379891,5.5346074
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Estonia,58.7523778,25.3319078
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 Portugal,40.0332629,-7.8896263
 China (including Hong Kong),35.0,105.0
 China (including Hong Kong),35.0,105.0
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 Spain,39.3262345,-4.8380649
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 France,46.603354,1.8883335
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
 United Kingdom (E+W+S+NI),54.75844,-2.69531
